identifier,articles,files,templates,categories
akwiktionary,1,1,1,1
biwiktionary,1,1,1,1
nawikiquote,1,1,1,1
crwiktionary,1,1,1,1
crwikiquote,1,1,1,1
aawikibooks,1,1,1,1
miwikibooks,1,1,1,1
lnwikibooks,1,1,1,1
akwikibooks,1,1,1,1
yowiktionary,1,1,1,1
bowiktionary,1,1,1,1
lrcwiki,1,1,1,1
gnwikibooks,1,1,1,1
krwiki,1,1,1,1
krwikiquote,1,1,1,1
dzwiktionary,1,1,1,1
hzwiki,1,1,1,1
kswikibooks,1,1,1,1
kswikiquote,1,1,1,1
gawikibooks,1,1,1,1
aawiki,1,1,1,1
aawiktionary,1,1,1,1
guwikibooks,1,1,1,1
aswikibooks,1,1,1,1
kwwikiquote,1,1,1,1
bowikibooks,1,1,1,1
vowikiquote,1,1,1,1
biwikibooks,1,1,1,1
rmwiktionary,1,1,1,1
rmwikibooks,1,1,1,1
aywikibooks,1,1,1,1
twwiktionary,1,1,1,1
sewikibooks,1,1,1,1
bmwikiquote,1,1,1,1
rnwiktionary,1,1,1,1
mhwiktionary,1,1,1,1
tkwikiquote,1,1,1,1
ndswikiquote,1,1,1,1
chwikibooks,1,1,1,1
snwiktionary,1,1,1,1
bhwiktionary,1,1,1,1
mywikibooks,1,1,1,1
muswiki,1,1,1,1
ugwikibooks,1,1,1,1
ugwikiquote,1,1,1,1
towiktionary,1,1,1,1
abwiktionary,1,1,1,1
zawikiquote,1,1,1,1
xhwiktionary,1,1,1,1
piwiktionary,1,1,1,1
knwikibooks,1,1,1,1
quwikiquote,1,1,1,1
scwiktionary,1,1,1,1
lbwikibooks,1,1,1,1
chwiktionary,1,1,1,1
zuwikibooks,1,1,1,1
yowikibooks,1,1,1,1
ttwikiquote,1,1,1,1
howiki,1,1,1,1
xhwikibooks,1,1,1,1
bmwiktionary,1,1,1,1
nawikibooks,1,1,1,1
wawikibooks,1,1,1,1
avwiktionary,1,1,1,1
pswikibooks,1,1,1,1
gawikiquote,1,1,1,1
mnwikibooks,1,1,1,1
gotwikibooks,1,1,1,1
cowikiquote,1,1,1,1
tkwikibooks,1,1,1,1
ndswikibooks,1,1,1,1
angwikisource,1,1,1,1
bmwikibooks,1,1,1,1
amwikiquote,1,1,1,1
kjwiki,1,1,1,1
nahwikibooks,1,1,1,1
quwikibooks,1,1,1,1
vowikibooks,1,1,1,1
zawikibooks,1,1,1,1
suwikibooks,1,1,1,1
mhwiki,1,1,1,1
cowikibooks,1,1,1,1
swwikibooks,1,1,1,1
uzwikibooks,1,1,1,1
kkwikiquote,1,1,1,1
iiwiki,1,1,1,1
lbwikiquote,1,1,1,1
astwikibooks,1,1,1,1
aswiktionary,1,1,1,1
chowiki,1,1,1,1
wowikiquote,1,1,1,1
htwikisource,1,1,1,1
ngwiki,1,1,1,1
angwikiquote,1,1,1,1
astwikiquote,1,1,1,1
kywikiquote,1,1,1,1
zh_min_nanwikibooks,1,1,1,1
mgwikibooks,1,1,1,1
cywikibooks,1,1,1,1
bswikibooks,1,1,1,1
kywikibooks,1,1,1,1
kuwikibooks,1,1,1,1
zh_min_nanwikiquote,1,1,1,1
iewikibooks,1,1,1,1
fowikisource,1,1,1,1
fywikibooks,1,1,1,1
lvwikibooks,1,1,1,1
mrwikiquote,1,1,1,1
tgwikibooks,1,1,1,1
ocwikibooks,1,1,1,1
pawikibooks,1,1,1,1
hiwikivoyage,1,1,1,1
ikwiktionary,1,1,1,1
bewikibooks,1,1,1,1
afwikibooks,1,1,1,1
shnwikivoyage,1,1,1,1
zawiktionary,1,1,1,1
thwikinews,1,1,1,1
brwikiquote,1,1,1,1
cvwikibooks,1,1,1,1
angwikibooks,1,1,1,1
newikibooks,1,1,1,1
tnwiktionary,1,1,1,1
iawikibooks,1,1,1,1
hywikibooks,1,1,1,1
afwikiquote,1,1,1,1
tewikibooks,1,1,1,1
iswikiquote,1,1,1,1
mrwikibooks,1,1,1,1
kmwikibooks,1,1,1,1
jawikiversity,1,1,1,1
uzwikiquote,1,1,1,1
iuwiktionary,1,1,1,1
klwiki,1,1,1,1
crwiki,1,1,1,1
slwikibooks,1,1,1,1
pwnwiki,1,1,1,1
sqwikiquote,1,1,1,1
bswikinews,1,1,1,1
mlwikibooks,1,1,1,1
napwikisource,1,1,1,1
tswiktionary,1,1,1,1
skwikisource,1,1,1,1
kuwikiquote,1,1,1,1
rwwiktionary,1,1,1,1
liwikibooks,1,1,1,1
mswikibooks,1,1,1,1
kkwikibooks,1,1,1,1
chrwiktionary,1,1,1,1
trwikivoyage,1,1,1,1
bnwikiquote,1,1,1,1
cywikiquote,1,1,1,1
pswikivoyage,1,1,1,1
dawikiquote,1,1,1,1
knwikiquote,1,1,1,1
dvwiktionary,1,1,1,1
hiwikiversity,1,1,1,1
kwwiktionary,1,1,1,1
urwikibooks,1,1,1,1
euwikiquote,1,1,1,1
srwikibooks,1,1,1,1
gvwiktionary,1,1,1,1
quwiktionary,1,1,1,1
guwikiquote,1,1,1,1
simplewikibooks,1,1,1,1
tiwiktionary,1,1,1,1
pntwiki,1,1,1,1
ttwikibooks,1,1,1,1
nawiktionary,1,1,1,1
tlwikibooks,1,1,1,1
dinwiki,1,1,1,1
sswiktionary,1,1,1,1
chwiki,1,1,1,1
etwikibooks,1,1,1,1
sgwiki,1,1,1,1
lawikibooks,1,1,1,1
tiwiki,1,1,1,1
bgwikibooks,1,1,1,1
viwikiquote,1,1,1,1
kawikibooks,1,1,1,1
rowikiquote,1,1,1,1
bgwikinews,1,1,1,1
bewikiquote,1,1,1,1
lnwiktionary,1,1,1,1
glwikiquote,1,1,1,1
kowikiversity,1,1,1,1
pcmwiki,1,1,1,1
tewikiquote,1,1,1,1
urwikiquote,1,1,1,1
sswiki,1,1,1,1
huwikinews,1,1,1,1
sqwikinews,1,1,1,1
skwikibooks,1,1,1,1
akwiki,1,1,1,1
nowikinews,1,1,1,1
mlwikiquote,1,1,1,1
adywiki,1,1,1,1
kowikinews,1,1,1,1
banwikisource,1,1,1,1
elwikibooks,1,1,1,1
tswiki,1,1,1,1
vewiki,1,1,1,1
sdwikinews,1,1,1,1
rnwiki,1,1,1,1
kawikiquote,1,1,1,1
chywiki,1,1,1,1
eewiki,1,1,1,1
ltwikibooks,1,1,1,1
hiwikiquote,1,1,1,1
rmywiki,1,1,1,1
mkwikibooks,1,1,1,1
sahwikisource,1,1,1,1
svwikiversity,1,1,1,1
eowikibooks,1,1,1,1
elwikiversity,1,1,1,1
rowikivoyage,1,1,1,1
jawikivoyage,1,1,1,1
nowikiquote,1,1,1,1
dzwiki,1,1,1,1
arwikiversity,1,1,1,1
stwiki,1,1,1,1
kcgwiki,1,1,1,1
ukwikivoyage,1,1,1,1
amwiktionary,1,1,1,1
bnwikivoyage,1,1,1,1
euwikisource,1,1,1,1
yiwiktionary,1,1,1,1
rowikibooks,1,1,1,1
glwikisource,1,1,1,1
aywiktionary,1,1,1,1
sawikibooks,1,1,1,1
ikwiki,1,1,1,1
orwikisource,1,1,1,1
lawikiquote,1,1,1,1
bnwikibooks,1,1,1,1
madwiki,1,1,1,1
pawikisource,1,1,1,1
eowikinews,1,1,1,1
arwikibooks,1,1,1,1
nywiki,1,1,1,1
zuwiktionary,1,1,1,1
altwiki,1,1,1,1
pihwiki,1,1,1,1
ffwiki,1,1,1,1
ltgwiki,1,1,1,1
guwwiki,1,1,1,1
tpiwiktionary,1,1,1,1
gotwiki,1,1,1,1
hifwiktionary,1,1,1,1
hewikinews,1,1,1,1
jbowiktionary,1,1,1,1
tnwiki,1,1,1,1
hrwikibooks,1,1,1,1
roa_rupwiktionary,1,1,1,1
eowikivoyage,1,1,1,1
sahwikiquote,1,1,1,1
srnwiki,1,1,1,1
trwikinews,1,1,1,1
tawikiquote,1,1,1,1
guwwiktionary,1,1,1,1
glwikibooks,1,1,1,1
ukwikibooks,1,1,1,1
nlwikiquote,1,1,1,1
bmwiki,1,1,1,1
jawikiquote,1,1,1,1
tywiki,1,1,1,1
iuwiki,1,1,1,1
tawikibooks,1,1,1,1
kgwiki,1,1,1,1
smwiki,1,1,1,1
iswikibooks,1,1,1,1
stwiktionary,1,1,1,1
amiwiki,1,1,1,1
simplewikiquote,1,1,1,1
wawikisource,1,1,1,1
fjwiki,1,1,1,1
nqowiki,1,1,1,1
omwiki,1,1,1,1
bclwikiquote,1,1,1,1
jvwikisource,1,1,1,1
liwikiquote,1,1,1,1
slwikiversity,1,1,1,1
tpiwiki,1,1,1,1
fiwikinews,1,1,1,1
kowikiquote,1,1,1,1
elwikivoyage,1,1,1,1
csbwiktionary,1,1,1,1
thwikibooks,1,1,1,1
kiwiki,1,1,1,1
miwiktionary,1,1,1,1
xhwiki,1,1,1,1
siwiktionary,1,1,1,1
trwikibooks,1,1,1,1
biwiki,1,1,1,1
huwikiquote,1,1,1,1
tetwiki,1,1,1,1
novwiki,1,1,1,1
roa_rupwiki,1,1,1,1
klwiktionary,1,1,1,1
ugwiktionary,1,1,1,1
chrwiki,1,1,1,1
dawikibooks,1,1,1,1
nowikibooks,1,1,1,1
siwikibooks,1,1,1,1
nnwikiquote,1,1,1,1
lbewiki,1,1,1,1
kbdwiki,1,1,1,1
svwikiquote,1,1,1,1
trvwiki,1,1,1,1
suwikiquote,1,1,1,1
fiwikiversity,1,1,1,1
shiwiki,1,1,1,1
niawiki,1,1,1,1
gnwiktionary,1,1,1,1
atjwiki,1,1,1,1
nawiki,1,1,1,1
svwikivoyage,1,1,1,1
fowiktionary,1,1,1,1
ltwikisource,1,1,1,1
bswikisource,1,1,1,1
mtwiktionary,1,1,1,1
bjnwiktionary,1,1,1,1
wowiki,1,1,1,1
ukwikinews,1,1,1,1
jamwiki,1,1,1,1
tcywiki,1,1,1,1
thwikiquote,1,1,1,1
iewiktionary,1,1,1,1
liwikisource,1,1,1,1
fiwikivoyage,1,1,1,1
gcrwiki,1,1,1,1
hrwikiquote,1,1,1,1
cuwiki,1,1,1,1
viwikivoyage,1,1,1,1
zh_min_nanwikisource,1,1,1,1
kowikibooks,1,1,1,1
aswikisource,1,1,1,1
elwikiquote,1,1,1,1
angwiktionary,1,1,1,1
svwikibooks,1,1,1,1
bgwikisource,1,1,1,1
liwikinews,1,1,1,1
mniwiktionary,1,1,1,1
taywiki,1,1,1,1
idwikiquote,1,1,1,1
lijwikisource,1,1,1,1
rowikinews,1,1,1,1
hiwikibooks,1,1,1,1
blkwiki,1,1,1,1
bawikibooks,1,1,1,1
fawikinews,1,1,1,1
gomwiktionary,1,1,1,1
twwiki,1,1,1,1
jbowiki,1,1,1,1
kbpwiki,1,1,1,1
pdcwiki,1,1,1,1
xalwiki,1,1,1,1
gdwiktionary,1,1,1,1
hawwiki,1,1,1,1
srwikiquote,1,1,1,1
gawiktionary,1,1,1,1
igwikiquote,1,1,1,1
etwikisource,1,1,1,1
zawiki,1,1,1,1
cswikibooks,1,1,1,1
mrwikisource,1,1,1,1
kswiki,1,1,1,1
tlwikiquote,1,1,1,1
towiki,1,1,1,1
gagwiki,1,1,1,1
dawikisource,1,1,1,1
zhwikiversity,1,1,1,1
piwiki,1,1,1,1
yiwikisource,1,1,1,1
guwiktionary,1,1,1,1
mkwikisource,1,1,1,1
lgwiki,1,1,1,1
elwikinews,1,1,1,1
suwiktionary,1,1,1,1
mnwwiki,1,1,1,1
wowiktionary,1,1,1,1
mdfwiki,1,1,1,1
mrwiktionary,1,1,1,1
papwiki,1,1,1,1
euwikibooks,1,1,1,1
azwikibooks,1,1,1,1
svwikinews,1,1,1,1
cawikibooks,1,1,1,1
arcwiki,1,1,1,1
sawikiquote,1,1,1,1
fiwikiquote,1,1,1,1
awawiki,1,1,1,1
shywiktionary,1,1,1,1
igwiktionary,1,1,1,1
eswikivoyage,1,1,1,1
kaawiki,1,1,1,1
sowiktionary,1,1,1,1
slwikiquote,1,1,1,1
dtywiki,1,1,1,1
vecwikisource,1,1,1,1
krcwiki,1,1,1,1
cywikisource,1,1,1,1
pflwiki,1,1,1,1
dsbwiki,1,1,1,1
hawiktionary,1,1,1,1
ltwikiquote,1,1,1,1
tawikinews,1,1,1,1
fawikibooks,1,1,1,1
kshwiki,1,1,1,1
sdwiktionary,1,1,1,1
kswiktionary,1,1,1,1
bxrwiki,1,1,1,1
jawikinews,1,1,1,1
hsbwiktionary,1,1,1,1
tyvwiki,1,1,1,1
anwiktionary,1,1,1,1
idwikisource,1,1,1,1
arwikiquote,1,1,1,1
hiwikisource,1,1,1,1
pmswikisource,1,1,1,1
lnwiki,1,1,1,1
hywikiquote,1,1,1,1
eswikiversity,1,1,1,1
ptwikivoyage,1,1,1,1
iawiktionary,1,1,1,1
gomwiki,1,1,1,1
mwlwiki,1,1,1,1
rmwiki,1,1,1,1
hewikivoyage,1,1,1,1
azwikiquote,1,1,1,1
tkwiktionary,1,1,1,1
avwiki,1,1,1,1
cbk_zamwiki,1,1,1,1
diqwiktionary,1,1,1,1
szywiki,1,1,1,1
extwiki,1,1,1,1
bswikiquote,1,1,1,1
furwiki,1,1,1,1
inhwiki,1,1,1,1
zhwikiquote,1,1,1,1
vecwiktionary,1,1,1,1
iswikisource,1,1,1,1
mkwiktionary,1,1,1,1
cawikinews,1,1,1,1
bewiktionary,1,1,1,1
dvwiki,1,1,1,1
skwikiquote,1,1,1,1
lfnwiki,1,1,1,1
eowikisource,1,1,1,1
koiwiki,1,1,1,1
olowiki,1,1,1,1
cawikiquote,1,1,1,1
ladwiki,1,1,1,1
nlwikinews,1,1,1,1
bclwiktionary,1,1,1,1
smnwiki,1,1,1,1
skrwiki,1,1,1,1
sqwikibooks,1,1,1,1
rwwiki,1,1,1,1
lezwiki,1,1,1,1
aywiki,1,1,1,1
nlwikivoyage,1,1,1,1
itwikiversity,1,1,1,1
nowikisource,1,1,1,1
thwikisource,1,1,1,1
csbwiki,1,1,1,1
