identifier,articles,files,templates,categories
gawiki,71567,1184,2446,12630
gawiktionary,2997,28,1119,767
gawikibooks,2,0,11,0
gawikiquote,5,0,14,0
gagwiki,3188,10,1705,485
kaawiki,3870,18,1023,544
aawiki,2,0,24,29
aawiktionary,2,0,20,1
aawikibooks,1,0,9,1
kuwiki,79940,566,8729,13869
kuwiktionary,740945,15,3089,13323
kuwikibooks,67,0,80,8
kuwikiquote,419,1,88,119
mgwiki,147696,8,3068,4117
mgwiktionary,1754837,11,13457,7894
mgwikibooks,42,0,18,4
iswiki,87235,3225,3597,17636
iswiktionary,44878,4,2454,1538
iswikibooks,1546,28,156,74
iswikiquote,288,1,82,160
iswikisource,5035,9,125,244
cdowiki,17925,0,2015,8304
fawiki,2818505,85707,166755,636371
fawiktionary,148392,3,1629,2205
fawikibooks,4168,865,925,635
fawikinews,2752,30,1213,4514
fawikiquote,15243,43,980,4196
fawikisource,29903,2,1176,1103
fawikivoyage,9156,25,1434,1977
gdwiki,24838,355,1249,2083
gdwiktionary,2919,0,5508,2558
iowiki,40987,0,1187,6880
iowiktionary,323002,4,471,15723
nnwiki,251625,83,12346,78798
nnwiktionary,12193,1,454,529
nnwikiquote,1914,2,647,990
tlwiki,174967,1942,15339,15322
tlwiktionary,24030,15,772,665
tlwikibooks,642,4,246,116
tlwikiquote,3140,0,17,41
wowiki,2250,0,718,607
wowiktionary,3482,5,155,74
wowikiquote,21,0,41,6
bawiki,82259,1476,22726,30555
bawikibooks,2737,0,146,295
emlwiki,16074,2745,645,1708
frrwiki,28921,1348,4363,4102
hiwiki,223671,3729,22977,35570
hiwiktionary,196213,6,1962,438
hiwikibooks,2712,1,882,414
hiwikiquote,946,0,392,162
hiwikisource,4382,5,1254,413
hiwikiversity,529,3,440,134
hiwikivoyage,151,0,155,45
crhwiki,25637,1,12311,1728
diqwiki,44120,202,5643,6805
diqwiktionary,4804,0,369,1584
nvwiki,23138,1036,2773,3035
ocwiki,109372,950,9537,18683
ocwiktionary,66003,2,4823,9286
ocwikibooks,125,1,57,44
cawiki,1177464,15994,37394,102784
cawiktionary,566226,4,2217,12383
cawikibooks,3709,15,1274,411
cawikinews,5109,0,1238,6442
cawikiquote,5355,8,1416,990
cawikisource,7109,2,450,847
bhwiki,14551,76,13068,10197
bhwiktionary,3,0,90,4
cebwiki,10105082,13,5049,311399
madwiki,1206,0,134,187
myvwiki,9514,2,12041,3221
nds_nlwiki,13698,582,959,1727
bclwiki,19719,868,6385,1149
bclwiktionary,5563,0,412,183
bclwikiquote,1607,0,92,30
hywiki,649057,11519,24381,74873
hywiktionary,305524,18,4077,1226
hywikibooks,267,35,102,155
hywikiquote,4438,99,1041,1922
hywikisource,8834,64,307,2027
lezwiki,5709,10,4115,1781
yuewiktionary,7822,0,367,1020
eowiki,532747,12807,25396,108652
eowiktionary,116371,21,3473,14182
eowikibooks,1003,454,379,655
